review,model,sentiment,clean_text
The movie was a complete snoozefest.  I regretted every second.  Total waste of money.,Gemini-1.5-Flash,negative,movie complete snoozefest regretted every second total waste money
"Seriously, the worst venue I've ever been to.  The sound was terrible, the seats uncomfortable, and the staff rude.",Gemini-1.5-Flash,negative,seriously worst venue ever sound terrible seat uncomfortable staff rude
"This event was so poorly organized, it was a joke.  I left early, feeling ripped off.",Gemini-1.5-Flash,negative,event poorly organized joke left early feeling ripped
"What a disaster of a movie!  The acting was awful, the plot was nonsensical, and the special effects were cheesy.",Gemini-1.5-Flash,negative,disaster movie acting awful plot nonsensical special effect cheesy
"I wouldn't recommend this venue to my worst enemy.  It was dirty, cramped, and overpriced.",Gemini-1.5-Flash,negative,recommend venue worst enemy dirty cramped overpriced
"The event was a complete letdown.  The performers were underwhelming, and the whole thing felt rushed.",Gemini-1.5-Flash,negative,event complete letdown performer underwhelming whole thing felt rushed
This movie was boring and predictable. I could have stayed home and watched paint dry.,Gemini-1.5-Flash,negative,movie boring predictable could stayed home watched paint dry
The sound system at the venue was atrocious. I couldn't hear anything properly.,Gemini-1.5-Flash,negative,sound system venue atrocious hear anything properly
The event was poorly advertised and even worse in reality.  A total waste of time.,Gemini-1.5-Flash,negative,event poorly advertised even worse reality total waste time
This movie had a terrible plot and unbelievable acting. I'm asking for my money back.,Gemini-1.5-Flash,negative,movie terrible plot unbelievable acting asking money back
"The venue was a dump.  Dirty, smelly, and the staff were unhelpful.",Gemini-1.5-Flash,negative,venue dump dirty smelly staff unhelpful
Such a disappointing event. The promised entertainment was nowhere to be seen.,Gemini-1.5-Flash,negative,disappointing event promised entertainment nowhere seen
I fell asleep during this movie.  It was that bad.,Gemini-1.5-Flash,negative,fell asleep movie bad
The venue was overcrowded and uncomfortable.  I couldn't even enjoy the event.,Gemini-1.5-Flash,negative,venue overcrowded uncomfortable even enjoy event
This event was a chaotic mess.  Things weren't organized and the staff were clueless.,Gemini-1.5-Flash,negative,event chaotic mess thing organized staff clueless
The movie was so slow and boring.  I almost walked out.,Gemini-1.5-Flash,negative,movie slow boring almost walked
"The venue was so small and cramped, it was unbearable.  I couldn't breathe.",Gemini-1.5-Flash,negative,venue small cramped unbearable breathe
This event was a complete rip-off.  I'm furious.,Gemini-1.5-Flash,negative,event complete rip furious
The movie was predictable and cliché.  I've seen better.,Gemini-1.5-Flash,negative,movie predictable clich seen better
The venue was poorly maintained and unclean.  I'm disgusted.,Gemini-1.5-Flash,negative,venue poorly maintained unclean disgusted
This event was disorganized and lacked any real entertainment value.,Gemini-1.5-Flash,negative,event disorganized lacked real entertainment value
The movie was just awful.  I don't even know where to begin.,Gemini-1.5-Flash,negative,movie awful even know begin
The venue was noisy and distracting.  I couldn't focus on the event.,Gemini-1.5-Flash,negative,venue noisy distracting focus event
This event was a complete failure.  I regret attending.,Gemini-1.5-Flash,negative,event complete failure regret attending
The movie was confusing and poorly written.  I was lost the entire time.,Gemini-1.5-Flash,negative,movie confusing poorly written lost entire time
The venue was far too expensive for what it offered.  I felt cheated.,Gemini-1.5-Flash,negative,venue far expensive offered felt cheated
This event was poorly executed and lacked any creativity.,Gemini-1.5-Flash,negative,event poorly executed lacked creativity
The movie was a complete waste of time and money.  Don't bother.,Gemini-1.5-Flash,negative,movie complete waste time money bother
The venue was uncomfortable and lacked basic amenities.  I was miserable.,Gemini-1.5-Flash,negative,venue uncomfortable lacked basic amenity miserable
This event was underwhelming and disappointing.  I expected so much more.,Gemini-1.5-Flash,negative,event underwhelming disappointing expected much
The movie was boring and lacked any substance.  I'm so disappointed.,Gemini-1.5-Flash,negative,movie boring lacked substance disappointed
The venue was dirty and smelled awful.  I couldn't even stay for the whole event.,Gemini-1.5-Flash,negative,venue dirty smelled awful even stay whole event
This event was poorly managed and lacked any sense of professionalism.,Gemini-1.5-Flash,negative,event poorly managed lacked sense professionalism
The movie was a mess.  The plot was all over the place.,Gemini-1.5-Flash,negative,movie mess plot place
The venue was difficult to get to and poorly signposted.  I almost missed the event.,Gemini-1.5-Flash,negative,venue difficult get poorly signposted almost missed event
This event was a huge letdown.  I'm so angry.,Gemini-1.5-Flash,negative,event huge letdown angry
"The movie was so predictable, it was insulting.  I'm so mad.",Gemini-1.5-Flash,negative,movie predictable insulting mad
The venue was overpriced and understaffed.  It was chaos.,Gemini-1.5-Flash,negative,venue overpriced understaffed chaos
This event was a complete waste of my evening.  I'm so frustrated.,Gemini-1.5-Flash,negative,event complete waste evening frustrated
The movie was just plain bad.  I can't believe I paid to see it.,Gemini-1.5-Flash,negative,movie plain bad believe paid see
"The venue was cramped and uncomfortable, making the event unpleasant.",Gemini-1.5-Flash,negative,venue cramped uncomfortable making event unpleasant
This event was poorly advertised and didn't live up to the hype.,Gemini-1.5-Flash,negative,event poorly advertised live hype
The movie was a complete disappointment.  I'm so upset.,Gemini-1.5-Flash,negative,movie complete disappointment upset
